year,day,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1980,MONDAY,39,27,13,40,37,35,4,39,371,383,69,452,193
1980,TUESDAY,36,35,5,40,49,49,2,51,293,303,88,391,148
1980,WEDNESDAY,42,38,5,43,59,57,4,61,364,393,84,477,196
1980,THURSDAY,46,35,12,47,46,45,4,49,338,388,68,456,180
1980,FRIDAY,51,38,11,49,52,53,7,60,327,358,83,441,179
1980,SATURDAY,35,38,12,50,37,34,11,45,340,410,41,451,188
1980,SUNDAY,46,43,4,47,46,50,9,59,328,304,93,397,149
1981,MONDAY,40,38,4,42,78,72,7,79,334,359,65,424,172
1981,TUESDAY,46,44,4,48,85,79,8,87,316,395,70,465,162
1981,WEDNESDAY,56,52,7,59,69,66,4,70,311,398,69,467,181
1981,THURSDAY,48,45,6,51,78,74,5,79,323,403,56,459,192
1981,FRIDAY,58,52,10,62,76,71,6,77,268,374,54,428,175
1981,SATURDAY,50,47,6,53,67,66,3,69,354,394,59,453,178
1981,SUNDAY,49,47,4,51,55,52,5,57,330,314,56,370,128
1982,MONDAY,60,54,7,61,55,52,8,60,344,368,60,428,191
1982,TUESDAY,46,42,5,47,78,76,6,82,290,360,80,440,167
1982,WEDNESDAY,48,40,8,48,68,68,4,72,326,382,68,450,200
1982,THURSDAY,43,42,9,51,48,42,6,48,291,380,61,441,173
1982,FRIDAY,45,40,6,46,58,53,8,61,312,338,48,386,169
1982,SATURDAY,46,39,8,47,70,70,9,79,300,340,54,394,172
1982,SUNDAY,43,38,7,45,55,46,10,56,289,296,32,328,131
1983,MONDAY,53,46,8,54,58,53,9,62,386,341,78,419,181
1983,TUESDAY,41,38,10,48,95,91,11,102,321,416,102,518,194
1983,WEDNESDAY,47,45,7,52,79,75,8,83,354,462,81,543,168
1983,THURSDAY,49,46,6,52,68,64,6,70,369,392,72,464,204
1983,FRIDAY,64,59,8,67,86,80,10,90,341,374,83,457,193
1983,SATURDAY,55,51,7,58,64,58,9,67,321,361,56,417,171
1983,SUNDAY,50,45,9,54,52,47,6,53,307,334,45,379,168
