year,month,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1980,JANUARY,23,20,7,27,24,22,4,26,186,210,41,251,98
1980,FEBRUARY,22,19,6,25,26,25,3,28,171,211,53,264,85
1980,MARCH,20,14,7,21,23,26,2,28,168,201,38,239,103
1980,APRIL,23,21,4,25,28,28,3,31,173,208,35,243,114
1980,MAY,32,29,5,34,34,36,6,42,202,250,61,311,120
1980,JUNE,24,22,3,25,31,28,4,32,206,210,49,259,105
1980,JULY,29,24,6,30,29,29,3,32,205,210,33,243,105
1980,AUGUST,26,21,7,28,24,23,3,26,199,200,18,218,99
1980,SEPTEMBER,17,15,3,18,22,21,2,23,201,212,48,260,79
1980,OCTOBER,30,29,3,32,28,30,2,32,230,220,28,248,113
1980,NOVEMBER,22,18,6,24,28,27,4,31,196,199,58,257,114
1980,DECEMBER,27,22,5,27,29,28,5,33,224,208,64,272,98
1981,JANUARY,25,23,4,27,38,36,3,39,209,210,46,256,
1981,FEBRUARY,26,24,3,27,40,38,4,42,197,206,36,242,
1981,MARCH,21,16,6,22,35,33,2,35,203,225,40,265,
1981,APRIL,28,28,3,31,40,36,4,40,157,183,29,212,
1981,MAY,24,24,3,27,35,30,5,35,197,,47,47,
1981,JUNE,27,24,4,28,45,45,2,47,,,,0,
1981,JULY,33,29,5,34,48,46,3,49,160,194,32,226,
1981,AUGUST,29,27,3,30,53,51,4,55,176,218,,218,
1981,SEPTEMBER,32,32,2,34,44,41,3,44,190,203,34,237,
1981,OCTOBER,38,36,3,39,41,39,2,41,186,347,38,385,
1981,NOVEMBER,31,29,3,32,45,42,4,46,,,,0,
1981,DECEMBER,33,33,2,35,44,43,2,45,,,,0,
1982,JANUARY,24,21,4,25,37,33,4,37,174,201,38,239,113
1982,FEBRUARY,19,17,2,19,25,21,6,27,156,178,28,206,91
1982,MARCH,26,25,3,28,38,35,4,39,163,185,29,214,121
1982,APRIL,22,20,4,24,36,35,2,37,186,210,28,238,106
1982,MAY,30,28,4,32,30,31,2,33,207,235,40,275,113
1982,JUNE,29,29,2,31,32,30,4,34,172,203,33,236,91
1982,JULY,34,30,6,36,40,38,4,42,191,222,32,254,78
1982,AUGUST,33,29,4,33,38,37,3,40,177,209,41,250,118
1982,SEPTEMBER,24,21,6,27,32,34,4,38,186,211,38,249,83
1982,OCTOBER,35,27,5,32,33,28,6,34,201,235,31,266,90
1982,NOVEMBER,31,28,4,32,43,40,6,46,178,190,30,220,91
1982,DECEMBER,24,20,6,26,48,45,6,51,161,185,35,220,108
1983,JANUARY,26,22,7,29,46,44,5,49,170,193,52,245,102
1983,FEBRUARY,27,26,3,29,38,39,2,41,186,229,45,274,104
1983,MARCH,28,31,4,35,44,38,7,45,203,262,50,312,111
1983,APRIL,23,20,6,26,42,36,6,42,183,208,44,252,95
1983,MAY,32,33,3,36,45,42,5,47,179,197,47,244,110
1983,JUNE,31,26,6,32,39,38,4,42,191,206,50,256,110
1983,JULY,34,32,3,35,40,35,6,41,245,266,42,308,120
1983,AUGUEST,34,32,5,37,38,39,5,44,214,224,37,261,125
1983,SEPTEMBER,29,27,4,31,35,32,4,36,211,217,38,255,92
1983,OCTOBER,41,39,3,42,47,45,5,50,208,225,38,263,107
1983,NOVEMBER,30,25,6,31,47,43,4,47,197,220,40,260,94
1983,DECEMBER,24,20,5,25,41,37,6,43,212,233,34,267,109
1984,JANUARY,31,28,4,32,63,65,2,67,195,204,38,242,98
1984,FEBRUARY,41,38,3,41,48,43,5,48,214,232,40,272,93
1984,MARCH,29,26,4,30,54,51,5,56,166,198,42,240,119
1984,APRIL,44,40,4,44,53,54,1,55,182,211,45,256,124
1984,MAY,39,30,9,39,52,50,3,53,215,286,41,327,114
1984,JUNE,31,28,4,32,57,49,8,57,212,284,39,323,116
1984,JULY,38,34,6,40,54,46,9,55,223,199,36,235,148
1984,AUGUST,32,28,5,33,59,51,8,59,230,201,52,253,118
1984,SEPTEMBER,26,24,3,27,54,49,6,55,210,288,50,338,134
1984,OCTOBER,31,26,8,34,44,48,_,48,195,188,40,228,103
1984,NOVEMBER,32,27,8,35,42,43,1,44,197,203,33,236,99
1984,DECEMBER,34,30,6,36,50,61,2,63,228,265,41,306,159
1985,JANUARY,29,27,3,30,40,40,2,42,220,230,40,270,120
1985,FEBRUARY,38,33,5,38,32,33,1,34,224,238,35,273,107
1985,MARCH,33,30,4,34,41,43,2,45,216,221,44,265,129
1985,APRIL,32,29,3,32,31,35,1,36,198,201,36,237,113
1985,MAY,38,30,8,38,40,43,2,45,190,215,28,243,119
1985,JUNE,48,45,4,49,49,51,1,52,196,240,33,273,117
1985,JULY,34,30,4,34,41,41,1,42,217,281,48,329,120
1985,AUGUST,32,31,2,33,33,38,_,38,233,298,49,347,102
1985,SEPTEMBER,23,15,8,23,39,36,1,37,247,175,99,274,110
1985,OCTOBER,27,21,6,27,30,33,2,35,228,302,41,343,84
1985,NOVEMBER,29,30,8,38,32,29,4,33,218,227,59,286,106
1985,DECEMBER,40,35,8,43,85,58,25,83,175,180,50,230,120
1986,JANUARY,35,33,2,35,37,36,3,39,208,290,33,323,91
1986,FEBRUARY,27,27,2,29,33,34,2,36,233,295,31,326,109
1986,MARCH,31,30,4,34,35,33,4,37,270,300,50,350,129
1986,APRIL,28,27,1,28,41,40,2,42,218,233,60,293,113
1986,MAY,45,40,7,47,46,45,3,48,129,296,52,348,115
1986,JUNE,30,28,2,30,36,35,1,36,220,232,62,294,115
1986,JULY,17,16,2,18,37,38,4,42,237,249,58,307,109
1986,AUGUST,27,26,2,28,42,40,5,45,273,290,55,345,121
1986,SEPTEMBER,44,40,4,44,45,43,3,46,246,279,45,324,113
1986,OCTOBER,32,30,2,32,38,37,4,41,253,281,62,343,128
1986,NOVEMBER,24,24,2,26,51,53,4,57,252,200,46,246,132
1986,DECEMBER,44,40,6,46,38,39,10,49,381,286,95,381,90
1987,JANUARY,40,31,11,42,43,38,10,48,247,306,69,375,118
