year,police_station,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1980,Kalasipalya,_,_,_,0,1,1,_,1,20,17,3,20,8
1980,Central,_,_,_,0,_,_,_,0,6,5,1,6,3
1980,shankarpura,_,_,_,0,_,_,_,0,2,3,_,3,2
1980,Chamarajpet,2,1,1,2,1,1,_,1,32,30,6,36,8
1980,Byatarayanapura,5,3,2,5,_,_,_,0,10,9,1,10,4
1980,Kengeri,_,_,_,0,_,_,_,0,2,6,1,7,4
1980,G.G.Halli,1,1,_,1,_,_,_,0,6,6,1,7,1
1980,Janabharathi,_,_,_,0,1,1,_,1,_,_,_,0,1
1980,Jayangar,3,3,_,3,16,14,2,16,32,32,1,33,18
1980,J.P.Nagar,1,1,_,1,4,4,_,4,18,18,1,19,13
1980,Siddapura,_,_,_,0,7,6,1,7,14,14,2,16,9
1980,Thilaknagar,2,2,_,2,5,5,_,5,12,11,2,13,11
1980,Basavanagudi,6,6,_,6,12,11,1,12,52,55,1,56,18
1980,T.R.Nagar,2,2,_,2,6,6,_,6,18,19,2,21,12
1980,Banashankari,6,6,_,6,16,15,1,16,20,28,2,30,4
1980,Hanumanthanagar,5,5,_,5,4,4,_,4,22,32,2,34,12
1980,Subramanyapura,4,4,_,4,3,3,_,3,12,15,2,17,5
1980,Ulsoorgate,8,8,1,9,5,4,1,5,58,62,2,64,32
1980,S.J.Park,3,3,1,4,1,1,1,2,35,48,2,50,12
1980,S.R.Nagar,8,8,_,8,2,2,1,3,45,40,2,42,20
1980,Wilsongarden,12,12,_,12,6,5,2,7,98,106,2,108,52
1980,Ashoknagar,9,9,1,10,17,17,2,19,74,74,4,78,26
1980,Viveknagar,1,1,_,1,2,2,_,2,6,6,2,8,5
1980,Koramangala,3,3,_,3,3,3,_,3,14,14,2,16,13
1980,Audogodi,2,2,_,2,5,5,1,6,20,20,2,22,16
1980,Madivala,4,4,_,4,15,15,2,17,26,24,2,26,14
1980,Mico lay out,1,1,_,1,8,8,_,8,22,22,4,26,12
1980,Frazer town,8,8,_,8,8,10,2,12,56,66,4,70,37
1980,K.G.Halli,1,1,_,1,1,1,_,1,14,14,1,15,5
1980,D.J.Halli,1,1,_,1,1,1,_,1,8,8,2,10,3
1980,Banasavadi,2,2,_,2,5,6,1,7,25,27,4,31,12
1980,Ulsoor,10,12,1,13,25,23,3,26,56,50,8,58,33
1980,Indiranagar,3,3,_,3,10,8,2,10,40,36,4,40,20
1980,Byappanahalli,4,4,_,4,8,7,1,8,25,25,2,27,22
1980,K.R.Pura,5,5,_,5,5,5,_,5,28,26,3,29,20
1980,Mahadevpura,4,4,_,4,5,5,_,5,12,12,_,12,15
1980,H.A.L,1,1,_,1,4,4,_,4,17,17,1,18,10
1980,Airport,1,1,_,1,_,_,_,0,21,21,1,22,17
1980,J.B.Nagar,_,_,_,0,_,_,_,0,18,18,2,20,11
1980,H.Grounds,1,_,1,1,10,7,3,10,10,11,19,30,16
1980,Cubbonpark,1,_,1,1,16,10,6,16,14,15,20,35,18
1980,C.Street,14,11,3,14,54,53,3,56,82,64,19,83,97
1980,Bharathinagar,1,1,_,1,4,4,_,4,6,5,2,7,6
1980,Shivajinagar,1,1,_,1,2,2,_,2,6,5,1,6,_
1980,Sheshadripuram,6,4,2,6,26,18,8,26,41,22,20,42,47
1980,Vyalikaval,3,3,_,3,18,13,5,18,40,26,16,42,27
1980,Hebbal,6,6,_,6,12,10,3,13,51,42,12,54,14
1980,Yelahanka,8,6,2,8,8,6,3,9,39,82,8,90,29
1980,J.C.Nagar,_,_,_,0,2,1,1,2,11,8,3,11,3
1980,R.T.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1980,Vidhana soudha,_,_,_,0,4,2,2,4,6,7,4,11,2
1980,Malleshwaram,5,4,1,5,4,4,_,4,86,90,10,100,35
1980,Sadashivangar,4,4,_,4,_,_,_,0,60,67,3,70,28
1980,Srirampura,3,2,1,3,5,5,1,6,83,88,12,100,14
1980,Yeshwanthapura,14,14,2,16,3,3,_,3,65,85,5,90,30
1980,R.M.C.Yard,_,_,_,0,_,_,_,0,5,6,1,7,4
1980,Peenya,12,12,2,14,4,4,1,5,56,78,8,86,45
1980,S.D.Halli,_,_,_,0,_,_,_,0,3,3,_,3,2
1980,Jalahalli,2,2,_,2,2,2,_,2,16,23,1,24,4
1980,Rajajinagar,20,18,2,20,3,3,1,4,65,75,8,83,20
1980,Vijayanagar,3,3,_,3,2,2,_,2,50,52,5,57,8
1980,Subramanyanagar,6,6,_,6,5,5,2,7,55,63,7,70,17
1981,Central,4,3,1,4,14,14,_,14,16,15,1,16,10
1981,Kalasipalya,5,5,_,5,18,17,1,18,36,34,2,36,22
1981,Shanakarpura,1,1,_,1,6,6,_,6,17,17,_,17,11
1981,Victoria,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Chamrajpet,9,7,2,9,11,10,1,11,56,53,3,56,25
1981,Byatarayanapura,10,10,1,11,12,11,1,12,60,57,3,60,20
1981,Kengeri,8,8,_,8,10,11,1,12,36,42,_,42,13
1981,G.G.Halli,1,1,_,1,1,1,_,1,3,3,_,3,6
1981,Giringar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Janabharathi,1,1,_,1,2,2,_,2,22,21,_,21,18
1981,Chikpet,1,1,_,1,8,7,1,8,24,22,4,26,24
1981,Upparpet,9,8,1,9,14,12,2,14,42,43,6,49,29
1981,Magadiraod,10,9,1,10,11,9,2,11,38,35,5,40,21
1981,Citymarket,2,1,1,2,3,2,1,3,21,26,_,26,9
1981,N.T.Pet,4,3,1,4,5,5,_,5,18,24,_,24,12
1981,Kengerigate,8,7,1,8,7,4,3,7,55,65,3,68,19
1981,J.J.Nagar,1,1,_,1,2,2,_,2,19,26,_,26,11
1981,Malleshwaram,2,2,1,3,3,3,_,3,75,55,40,95,22
1981,Sadashivnagar,1,1,_,1,_,_,_,0,40,20,25,45,15
1981,Srirampura,4,4,1,5,6,6,1,7,61,57,36,93,37
1981,Yeshwanthpura,18,20,3,23,1,1,_,1,82,52,25,77,23
1981,R.M.C.Yard,_,_,_,0,_,_,_,0,8,10,3,13,1
1981,Peenya,12,11,1,12,1,1,_,1,55,63,22,85,25
1981,S.D.Halli,_,_,_,0,_,_,_,0,6,8,2,10,1
1981,Jalahalli,1,1,_,1,1,1,_,1,15,13,5,18,1
1981,G.Gudi,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Rajajinagar,10,9,1,10,6,3,1,4,70,70,30,100,26
1981,Vijayanagar,3,3,_,3,1,1,1,2,65,60,19,79,28
1981,Subramanyanagar,6,6,1,7,2,2,_,2,50,76,31,107,15
1981,M.Layout,_,_,_,0,_,_,_,0,13,15,6,21,8
1981,Basveshwarnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Kamakshipalya,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Rajgopalnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,H.Grounds,_,_,_,0,26,26,2,28,43,53,3,56,43
1981,Cubbonpark,7,7,_,7,34,35,2,37,73,85,3,88,86
1981,C.Street,5,5,_,5,14,11,3,14,28,25,10,35,36
1981,Bharathinagar,4,4,_,4,10,8,_,8,23,21,7,28,9
1981,Shivajinagar,1,1,_,1,9,8,1,9,27,25,5,30,5
1981,Sheshadripura,8,7,1,8,20,20,2,22,53,115,3,118,29
1981,Vyalikaval,6,6,_,6,18,17,1,18,25,35,2,37,21
1981,Hebbal,8,8,_,8,14,14,_,14,24,31,2,33,11
1981,Yelahanka,13,13,_,13,5,5,1,6,39,46,1,47,12
1981,J.C.Nagar,2,2,1,3,5,5,1,6,28,35,2,37,12
1981,R.T.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Vidhanasoudha,3,3,_,3,8,8,2,10,17,20,2,22,10
1981,Jayanagar,5,5,1,6,2,2,_,2,31,35,5,40,16
1981,J.P.Nagar,2,2,_,2,1,1,_,1,12,13,8,21,9
1981,Siddapura,2,2,_,2,2,2,_,2,28,31,2,33,10
1981,Thilaknagar,3,3,_,3,1,1,_,1,14,18,1,19,6
1981,Basavanagudi,4,4,_,4,8,6,2,8,25,28,2,30,9
1981,T.R.Nagar,1,1,_,1,2,2,_,2,12,15,3,18,8
1981,Banashankari,3,3,_,3,12,10,2,12,18,20,_,20,9
1981,Hanumanthanagar,2,2,_,2,5,5,_,5,19,25,_,25,6
1981,Subramanyapura,3,3,_,3,3,3,_,3,11,13,1,14,4
1981,Ulsoorgate,8,8,_,8,9,7,2,9,85,90,2,92,29
1981,S.J.Park,3,3,_,3,6,6,_,6,33,35,2,37,2
1981,S.R.Nagar,9,9,_,9,9,9,_,9,28,35,2,37,21
