year,time_interval,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1980,0000 to 0600,37,30,10,40,30,28,8,36,296,301,44,345,136
1980,0600 to 0900,56,51,7,58,51,48,4,52,472,540,88,628,270
1980,0900 to 1200,52,44,13,57,49,50,5,55,442,508,101,609,243
1980,1200 to 1500,59,53,8,61,54,61,4,65,504,502,109,611,240
1980,1500 to 1800,46,42,6,48,61,66,4,70,393,401,98,499,193
1980,1800 to 2100,30,20,13,33,62,54,6,60,167,180,56,236,107
1980,2100 to 2400,5,4,3,7,5,4,2,6,30,35,14,49,10
1980,2400 to 0300,10,10,2,12,14,12,8,20,57,72,16,88,34
1981,0000 to 0600,17,16,3,19,24,24,2,26,43,127,14,141,50
1981,0600 to 0900,39,34,5,39,69,64,7,71,186,213,48,261,109
1981,0900 to 1200,44,38,8,46,93,86,8,94,465,498,90,588,228
1981,1200 to 1500,54,58,5,63,82,77,6,83,430,480,50,530,230
1981,1500 to 1800,62,57,6,63,121,115,7,122,427,503,55,558,258
1981,1800 to 2100,79,74,7,81,72,69,4,73,394,363,86,449,173
1981,2100 to 2400,45,40,5,45,37,34,3,37,261,325,77,402,126
1981,2400 to 0300,7,8,2,10,10,11,1,12,30,128,9,137,14
1982,0000 to 0600,10,8,2,10,10,8,3,11,23,38,22,60,22
1982,0600 to 0900,53,50,8,58,46,42,9,51,208,280,65,345,141
1982,0900 to 1200,50,45,6,51,68,65,8,73,423,482,64,546,215
1982,1200 to 1500,55,49,10,59,65,61,8,69,433,422,60,482,224
1982,1500 to 1800,65,58,8,66,95,94,8,102,450,489,68,557,261
1982,1800 to 2100,50,41,10,51,65,60,6,66,338,441,81,522,161
1982,2100 to 2400,41,39,4,43,60,52,8,60,236,230,35,265,119
1982,2400 to 0300,7,5,2,7,23,25,1,26,41,82,8,90,60
1983,0000 to 0600,13,12,3,15,9,11,2,13,97,106,49,155,61
1983,0600 to 0900,49,42,9,51,58,54,7,61,285,245,58,303,150
1983,0900 to 1200,66,58,13,71,118,107,15,122,419,446,108,554,267
1983,1200 to 1500,58,53,8,61,81,78,6,84,405,482,63,545,221
1983,1500 to 1800,70,67,5,72,72,67,7,74,468,567,59,626,258
1983,1800 to 2100,54,52,12,64,89,81,13,94,401,472,96,568,167
1983,2100 to 2400,43,43,4,47,68,63,8,71,266,301,69,370,134
1983,2400 to 0300,6,6,1,7,7,7,1,8,58,61,15,76,21
1984,0000 to 0600,42,37,7,44,72,67,6,73,375,391,55,446,186
1984,0600 to 0900,71,68,10,78,103,101,3,104,388,408,89,497,224
1984,0900 to 1200,68,62,7,69,104,105,6,111,389,425,110,535,231
1984,1200 to 1500,70,65,8,73,108,99,10,109,386,498,94,592,247
1984,1500 to 1800,81,71,9,80,94,93,12,105,387,429,85,514,221
1984,1800 to 2100,47,32,15,47,92,90,10,100,311,393,40,433,170
1984,2100 to 2400,10,8,4,12,18,17,1,18,11,14,2,16,101
1984,2400 to 0300,19,16,4,20,39,38,2,40,220,201,22,223,45
1985,0000 to 0600,23,21,3,24,18,18,1,19,95,120,26,146,67
1985,0600 to 0900,40,35,6,41,49,42,11,53,211,243,35,278,160
1985,0900 to 1200,72,62,11,73,85,83,8,91,425,450,56,506,223
1985,1200 to 1500,67,60,8,68,82,79,6,85,449,495,83,578,273
1985,1500 to 1800,97,90,9,99,91,84,9,93,593,609,127,736,290
1985,1800 to 2100,66,60,16,76,95,96,4,100,428,433,130,563,194
1985,2100 to 2400,28,20,8,28,62,67,3,70,301,373,95,468,98
1985,2400 to 0300,10,8,2,10,11,11,_,11,60,85,10,95,42
1986,0000 to 0600,14,10,4,14,30,28,3,31,53,62,31,93,23
1986,0600 to 0900,48,47,3,50,51,50,5,55,308,402,92,494,144
1986,0900 to 1200,66,62,5,67,72,69,8,77,596,619,109,728,269
1986,1200 to 1500,56,52,5,57,61,62,9,71,602,622,92,714,268
1986,1500 to 1800,79,75,9,84,88,82,7,89,550,640,111,751,264
1986,1800 to 2100,61,58,7,65,71,83,3,86,478,460,81,541,212
1986,2100 to 2400,48,47,1,48,68,63,6,69,277,361,98,459,157
1986,2400 to 0300,12,10,2,12,38,36,4,40,56,65,35,100,28
1987,0000 to 0600,47,40,8,48,103,93,20,113,382,440,106,546,172
1987,0600 to 0900,74,60,17,77,150,132,30,162,454,512,120,632,289
1987,0900 to 1200,62,60,12,72,146,130,20,150,529,629,128,757,303
1987,1200 to 1500,75,60,15,75,148,125,28,153,592,640,95,735,306
1987,1500 to 1800,66,61,7,68,159,130,29,159,400,428,34,462,238
1987,1800 to 2100,45,44,1,45,57,47,10,57,253,250,52,302,134
1987,2100 to 2400,12,10,3,13,49,39,10,49,79,86,15,101,35
1987,2400 to 0300,21,17,4,21,44,34,10,44,104,117,18,135,64
1988,0000 to 0600,64,61,10,71,126,119,11,130,425,479,63,542,238
1988,0600 to 0900,93,80,14,94,167,143,34,177,533,561,113,674,329
1988,0900 to 1200,69,71,7,78,181,163,11,174,406,462,121,583,338
1988,1200 to 1500,72,67,13,80,147,130,20,150,482,523,180,703,314
1988,1500 to 1800,92,81,11,92,178,171,15,186,439,479,155,634,164
1988,1800 to 2100,56,43,15,58,87,78,16,94,306,409,38,447,192
1988,2100 to 2400,16,16,2,18,33,29,6,35,137,201,35,236,64
1988,2400 to 0300,12,11,2,13,30,26,5,31,116,110,20,130,79
1989,0000 to 0600,16,14,4,18,20,20,4,24,50,52,12,64,50
1989,0600 to 0900,49,40,12,52,126,120,19,139,312,381,110,491,192
1989,0900 to 1200,74,70,8,78,184,180,28,208,600,683,115,798,408
1989,1200 to 1500,90,88,5,93,209,201,22,223,563,612,118,730,333
1989,1500 to 1800,109,100,12,112,204,180,28,208,569,744,154,898,383
1989,1800 to 2100,92,78,21,99,152,150,18,168,553,681,120,801,314
1989,2100 to 2400,36,30,9,39,107,86,16,102,404,488,62,550,184
1989,2400 to 0300,21,16,5,21,23,22,6,28,57,86,13,99,57
1990,0000 to 0600,23,22,4,26,33,28,6,34,49,76,7,83,51
1990,0600 to 0900,67,61,8,69,147,120,31,151,340,482,138,620,204
1990,0900 to 1200,89,82,12,94,199,182,28,210,667,773,141,914,375
1990,1200 to 1500,89,80,13,93,191,175,19,194,629,697,155,852,306
1990,1500 to 1800,88,82,10,92,191,179,14,193,693,748,143,891,398
1990,1800 to 2100,100,90,14,104,209,181,34,215,554,657,101,758,286
1990,2100 to 2400,69,63,7,70,108,84,27,111,293,302,63,365,177
1990,2400 to 0300,12,12,2,14,21,17,7,24,38,55,7,62,33
1991,0000 to 0600,30,26,6,32,28,23,9,32,52,89,22,111,42
1991,0600 to 0900,59,48,13,61,144,122,31,153,322,440,116,556,201
1991,0900 to 1200,85,75,18,93,241,200,48,248,652,705,130,835,389
1991,1200 to 1500,78,68,16,84,240,210,34,244,640,655,130,785,341
1991,1500 to 1800,98,88,13,101,226,189,38,227,584,676,135,811,396
